group	x	y	showSelected1
1	1957	30.332	Afghanistan
2	1957	59.28	Albania
3	1957	45.685	Algeria
4	1957	31.999	Angola
5	1957	64.399	Argentina
6	1957	70.33	Australia
7	1957	67.48	Austria
8	1957	53.832	Bahrain
9	1957	39.348	Bangladesh
10	1957	69.24	Belgium
11	1957	40.358	Benin
12	1957	41.89	Bolivia
13	1957	58.45	Bosnia and Herzegovina
14	1957	49.618	Botswana
15	1957	53.285	Brazil
16	1957	66.61	Bulgaria
17	1957	34.906	Burkina Faso
18	1957	40.533	Burundi
19	1957	41.366	Cambodia
20	1957	40.428	Cameroon
21	1957	69.96	Canada
22	1957	37.464	Central African Republic
23	1957	39.881	Chad
24	1957	56.074	Chile
25	1957	50.54896	China
26	1957	55.118	Colombia
27	1957	42.46	Comoros
28	1957	40.652	Congo, Dem. Rep.
29	1957	45.053	Congo, Rep.
30	1957	60.026	Costa Rica
31	1957	42.469	Cote d'Ivoire
32	1957	64.77	Croatia
33	1957	62.325	Cuba
34	1957	69.03	Czech Republic
35	1957	71.81	Denmark
36	1957	37.328	Djibouti
37	1957	49.828	Dominican Republic
38	1957	51.356	Ecuador
39	1957	44.444	Egypt
40	1957	48.57	El Salvador
41	1957	35.983	Equatorial Guinea
42	1957	38.047	Eritrea
43	1957	36.667	Ethiopia
44	1957	67.49	Finland
45	1957	68.93	France
46	1957	38.999	Gabon
47	1957	32.065	Gambia
48	1957	69.1	Germany
49	1957	44.779	Ghana
50	1957	67.86	Greece
51	1957	44.142	Guatemala
52	1957	34.558	Guinea
53	1957	33.489	Guinea-Bissau
54	1957	40.696	Haiti
55	1957	44.665	Honduras
56	1957	64.75	Hong Kong, China
57	1957	66.41	Hungary
58	1957	73.47	Iceland
59	1957	40.249	India
60	1957	39.918	Indonesia
61	1957	47.181	Iran
62	1957	48.437	Iraq
63	1957	68.9	Ireland
64	1957	67.84	Israel
65	1957	67.81	Italy
66	1957	62.61	Jamaica
67	1957	65.5	Japan
68	1957	45.669	Jordan
69	1957	44.686	Kenya
70	1957	54.081	Korea, Dem. Rep.
71	1957	52.681	Korea, Rep.
72	1957	58.033	Kuwait
73	1957	59.489	Lebanon
74	1957	45.047	Lesotho
75	1957	39.486	Liberia
76	1957	45.289	Libya
77	1957	38.865	Madagascar
78	1957	37.207	Malawi
79	1957	52.102	Malaysia
80	1957	35.307	Mali
81	1957	42.338	Mauritania
82	1957	58.089	Mauritius
83	1957	55.19	Mexico
84	1957	45.248	Mongolia
85	1957	61.448	Montenegro
86	1957	45.423	Morocco
87	1957	33.779	Mozambique
88	1957	41.905	Myanmar
89	1957	45.226	Namibia
90	1957	37.686	Nepal
91	1957	72.99	Netherlands
92	1957	70.26	New Zealand
93	1957	45.432	Nicaragua
94	1957	38.598	Niger
95	1957	37.802	Nigeria
96	1957	73.44	Norway
97	1957	40.08	Oman
98	1957	45.557	Pakistan
99	1957	59.201	Panama
100	1957	63.196	Paraguay
101	1957	46.263	Peru
102	1957	51.334	Philippines
103	1957	65.77	Poland
104	1957	61.51	Portugal
105	1957	68.54	Puerto Rico
106	1957	55.09	Reunion
107	1957	64.1	Romania
108	1957	41.5	Rwanda
109	1957	48.945	Sao Tome and Principe
110	1957	42.868	Saudi Arabia
111	1957	39.329	Senegal
112	1957	61.685	Serbia
113	1957	31.57	Sierra Leone
114	1957	63.179	Singapore
115	1957	67.45	Slovak Republic
116	1957	67.85	Slovenia
117	1957	34.977	Somalia
118	1957	47.985	South Africa
119	1957	66.66	Spain
120	1957	61.456	Sri Lanka
121	1957	39.624	Sudan
122	1957	43.424	Swaziland
123	1957	72.49	Sweden
124	1957	70.56	Switzerland
125	1957	48.284	Syria
126	1957	62.4	Taiwan
127	1957	42.974	Tanzania
128	1957	53.63	Thailand
129	1957	41.208	Togo
130	1957	61.8	Trinidad and Tobago
131	1957	47.1	Tunisia
132	1957	48.079	Turkey
133	1957	42.571	Uganda
134	1957	70.42	United Kingdom
135	1957	69.49	United States
136	1957	67.044	Uruguay
137	1957	57.907	Venezuela
138	1957	42.887	Vietnam
139	1957	45.671	West Bank and Gaza
140	1957	33.97	Yemen, Rep.
141	1957	44.077	Zambia
142	1957	50.469	Zimbabwe
