group	x	y	showSelected1
1	2007	43.828	Afghanistan
2	2007	76.423	Albania
3	2007	72.301	Algeria
4	2007	42.731	Angola
5	2007	75.32	Argentina
6	2007	81.235	Australia
7	2007	79.829	Austria
8	2007	75.635	Bahrain
9	2007	64.062	Bangladesh
10	2007	79.441	Belgium
11	2007	56.728	Benin
12	2007	65.554	Bolivia
13	2007	74.852	Bosnia and Herzegovina
14	2007	50.728	Botswana
15	2007	72.39	Brazil
16	2007	73.005	Bulgaria
17	2007	52.295	Burkina Faso
18	2007	49.58	Burundi
19	2007	59.723	Cambodia
20	2007	50.43	Cameroon
21	2007	80.653	Canada
22	2007	44.741	Central African Republic
23	2007	50.651	Chad
24	2007	78.553	Chile
25	2007	72.961	China
26	2007	72.889	Colombia
27	2007	65.152	Comoros
28	2007	46.462	Congo, Dem. Rep.
29	2007	55.322	Congo, Rep.
30	2007	78.782	Costa Rica
31	2007	48.328	Cote d'Ivoire
32	2007	75.748	Croatia
33	2007	78.273	Cuba
34	2007	76.486	Czech Republic
35	2007	78.332	Denmark
36	2007	54.791	Djibouti
37	2007	72.235	Dominican Republic
38	2007	74.994	Ecuador
39	2007	71.338	Egypt
40	2007	71.878	El Salvador
41	2007	51.579	Equatorial Guinea
42	2007	58.04	Eritrea
43	2007	52.947	Ethiopia
44	2007	79.313	Finland
45	2007	80.657	France
46	2007	56.735	Gabon
47	2007	59.448	Gambia
48	2007	79.406	Germany
49	2007	60.022	Ghana
50	2007	79.483	Greece
51	2007	70.259	Guatemala
52	2007	56.007	Guinea
53	2007	46.388	Guinea-Bissau
54	2007	60.916	Haiti
55	2007	70.198	Honduras
56	2007	82.208	Hong Kong, China
57	2007	73.338	Hungary
58	2007	81.757	Iceland
59	2007	64.698	India
60	2007	70.65	Indonesia
61	2007	70.964	Iran
62	2007	59.545	Iraq
63	2007	78.885	Ireland
64	2007	80.745	Israel
65	2007	80.546	Italy
66	2007	72.567	Jamaica
67	2007	82.603	Japan
68	2007	72.535	Jordan
69	2007	54.11	Kenya
70	2007	67.297	Korea, Dem. Rep.
71	2007	78.623	Korea, Rep.
72	2007	77.588	Kuwait
73	2007	71.993	Lebanon
74	2007	42.592	Lesotho
75	2007	45.678	Liberia
76	2007	73.952	Libya
77	2007	59.443	Madagascar
78	2007	48.303	Malawi
79	2007	74.241	Malaysia
80	2007	54.467	Mali
81	2007	64.164	Mauritania
82	2007	72.801	Mauritius
83	2007	76.195	Mexico
84	2007	66.803	Mongolia
85	2007	74.543	Montenegro
86	2007	71.164	Morocco
87	2007	42.082	Mozambique
88	2007	62.069	Myanmar
89	2007	52.906	Namibia
90	2007	63.785	Nepal
91	2007	79.762	Netherlands
92	2007	80.204	New Zealand
93	2007	72.899	Nicaragua
94	2007	56.867	Niger
95	2007	46.859	Nigeria
96	2007	80.196	Norway
97	2007	75.64	Oman
98	2007	65.483	Pakistan
99	2007	75.537	Panama
100	2007	71.752	Paraguay
101	2007	71.421	Peru
102	2007	71.688	Philippines
103	2007	75.563	Poland
104	2007	78.098	Portugal
105	2007	78.746	Puerto Rico
106	2007	76.442	Reunion
107	2007	72.476	Romania
108	2007	46.242	Rwanda
109	2007	65.528	Sao Tome and Principe
110	2007	72.777	Saudi Arabia
111	2007	63.062	Senegal
112	2007	74.002	Serbia
113	2007	42.568	Sierra Leone
114	2007	79.972	Singapore
115	2007	74.663	Slovak Republic
116	2007	77.926	Slovenia
117	2007	48.159	Somalia
118	2007	49.339	South Africa
119	2007	80.941	Spain
120	2007	72.396	Sri Lanka
121	2007	58.556	Sudan
122	2007	39.613	Swaziland
123	2007	80.884	Sweden
124	2007	81.701	Switzerland
125	2007	74.143	Syria
126	2007	78.4	Taiwan
127	2007	52.517	Tanzania
128	2007	70.616	Thailand
129	2007	58.42	Togo
130	2007	69.819	Trinidad and Tobago
131	2007	73.923	Tunisia
132	2007	71.777	Turkey
133	2007	51.542	Uganda
134	2007	79.425	United Kingdom
135	2007	78.242	United States
136	2007	76.384	Uruguay
137	2007	73.747	Venezuela
138	2007	74.249	Vietnam
139	2007	73.422	West Bank and Gaza
140	2007	62.698	Yemen, Rep.
141	2007	42.384	Zambia
142	2007	43.487	Zimbabwe
