group	x	y
1	1992	41.674
1	1992	71.581
1	1992	67.744
1	1992	40.647
1	1992	71.868
1	1992	77.56
1	1992	76.04
1	1992	72.601
1	1992	56.018
1	1992	76.46
1	1992	53.919
1	1992	59.957
1	1992	72.178
1	1992	62.745
1	1992	67.057
1	1992	71.19
1	1992	50.26
1	1992	44.736
1	1992	55.803
1	1992	54.314
1	1992	77.95
1	1992	49.396
1	1992	51.724
1	1992	74.126
1	1992	68.69
1	1992	68.421
1	1992	57.939
1	1992	45.548
1	1992	56.433
1	1992	75.713
1	1992	52.044
1	1992	72.527
1	1992	74.414
1	1992	72.4
1	1992	75.33
1	1992	51.604
1	1992	68.457
1	1992	69.613
1	1992	63.674
1	1992	66.798
1	1992	47.545
1	1992	49.991
1	1992	48.091
1	1992	75.7
1	1992	77.46
1	1992	61.366
1	1992	52.644
1	1992	76.07
1	1992	57.501
1	1992	77.03
1	1992	63.373
1	1992	48.576
1	1992	43.266
1	1992	55.089
1	1992	66.399
1	1992	77.601
1	1992	69.17
1	1992	78.77
1	1992	60.223
1	1992	62.681
1	1992	65.742
1	1992	59.461
1	1992	75.467
1	1992	76.93
1	1992	77.44
1	1992	71.766
1	1992	79.36
1	1992	68.015
1	1992	59.285
1	1992	69.978
1	1992	72.244
1	1992	75.19
1	1992	69.292
1	1992	59.685
1	1992	40.802
1	1992	68.755
1	1992	52.214
1	1992	49.42
1	1992	70.693
1	1992	48.388
1	1992	58.333
1	1992	69.745
1	1992	71.455
1	1992	61.271
1	1992	75.435
1	1992	65.393
1	1992	44.284
1	1992	59.32
1	1992	61.999
1	1992	55.727
1	1992	77.42
1	1992	76.33
1	1992	65.843
1	1992	47.391
1	1992	47.472
1	1992	77.32
1	1992	71.197
1	1992	60.838
1	1992	72.462
1	1992	68.225
1	1992	66.458
1	1992	66.458
1	1992	70.99
1	1992	74.86
1	1992	73.911
1	1992	73.615
1	1992	69.36
1	1992	23.599
1	1992	62.742
1	1992	68.768
1	1992	58.196
1	1992	71.659
1	1992	38.333
1	1992	75.788
1	1992	71.38
1	1992	73.64
1	1992	39.658
1	1992	61.888
1	1992	77.57
1	1992	70.379
1	1992	53.556
1	1992	58.474
1	1992	78.16
1	1992	78.03
1	1992	69.249
1	1992	74.26
1	1992	50.44
1	1992	67.298
1	1992	58.061
1	1992	69.862
1	1992	70.001
1	1992	66.146
1	1992	48.825
1	1992	76.42
1	1992	76.09
1	1992	72.752
1	1992	71.15
1	1992	67.662
1	1992	69.718
1	1992	55.599
1	1992	46.1
1	1992	60.377
