group	x	y	showSelected1
1	1992	41.674	Afghanistan
2	1992	71.581	Albania
3	1992	67.744	Algeria
4	1992	40.647	Angola
5	1992	71.868	Argentina
6	1992	77.56	Australia
7	1992	76.04	Austria
8	1992	72.601	Bahrain
9	1992	56.018	Bangladesh
10	1992	76.46	Belgium
11	1992	53.919	Benin
12	1992	59.957	Bolivia
13	1992	72.178	Bosnia and Herzegovina
14	1992	62.745	Botswana
15	1992	67.057	Brazil
16	1992	71.19	Bulgaria
17	1992	50.26	Burkina Faso
18	1992	44.736	Burundi
19	1992	55.803	Cambodia
20	1992	54.314	Cameroon
21	1992	77.95	Canada
22	1992	49.396	Central African Republic
23	1992	51.724	Chad
24	1992	74.126	Chile
25	1992	68.69	China
26	1992	68.421	Colombia
27	1992	57.939	Comoros
28	1992	45.548	Congo, Dem. Rep.
29	1992	56.433	Congo, Rep.
30	1992	75.713	Costa Rica
31	1992	52.044	Cote d'Ivoire
32	1992	72.527	Croatia
33	1992	74.414	Cuba
34	1992	72.4	Czech Republic
35	1992	75.33	Denmark
36	1992	51.604	Djibouti
37	1992	68.457	Dominican Republic
38	1992	69.613	Ecuador
39	1992	63.674	Egypt
40	1992	66.798	El Salvador
41	1992	47.545	Equatorial Guinea
42	1992	49.991	Eritrea
43	1992	48.091	Ethiopia
44	1992	75.7	Finland
45	1992	77.46	France
46	1992	61.366	Gabon
47	1992	52.644	Gambia
48	1992	76.07	Germany
49	1992	57.501	Ghana
50	1992	77.03	Greece
51	1992	63.373	Guatemala
52	1992	48.576	Guinea
53	1992	43.266	Guinea-Bissau
54	1992	55.089	Haiti
55	1992	66.399	Honduras
56	1992	77.601	Hong Kong, China
57	1992	69.17	Hungary
58	1992	78.77	Iceland
59	1992	60.223	India
60	1992	62.681	Indonesia
61	1992	65.742	Iran
62	1992	59.461	Iraq
63	1992	75.467	Ireland
64	1992	76.93	Israel
65	1992	77.44	Italy
66	1992	71.766	Jamaica
67	1992	79.36	Japan
68	1992	68.015	Jordan
69	1992	59.285	Kenya
70	1992	69.978	Korea, Dem. Rep.
71	1992	72.244	Korea, Rep.
72	1992	75.19	Kuwait
73	1992	69.292	Lebanon
74	1992	59.685	Lesotho
75	1992	40.802	Liberia
76	1992	68.755	Libya
77	1992	52.214	Madagascar
78	1992	49.42	Malawi
79	1992	70.693	Malaysia
80	1992	48.388	Mali
81	1992	58.333	Mauritania
82	1992	69.745	Mauritius
83	1992	71.455	Mexico
84	1992	61.271	Mongolia
85	1992	75.435	Montenegro
86	1992	65.393	Morocco
87	1992	44.284	Mozambique
88	1992	59.32	Myanmar
89	1992	61.999	Namibia
90	1992	55.727	Nepal
91	1992	77.42	Netherlands
92	1992	76.33	New Zealand
93	1992	65.843	Nicaragua
94	1992	47.391	Niger
95	1992	47.472	Nigeria
96	1992	77.32	Norway
97	1992	71.197	Oman
98	1992	60.838	Pakistan
99	1992	72.462	Panama
100	1992	68.225	Paraguay
101	1992	66.458	Peru
102	1992	66.458	Philippines
103	1992	70.99	Poland
104	1992	74.86	Portugal
105	1992	73.911	Puerto Rico
106	1992	73.615	Reunion
107	1992	69.36	Romania
108	1992	23.599	Rwanda
109	1992	62.742	Sao Tome and Principe
110	1992	68.768	Saudi Arabia
111	1992	58.196	Senegal
112	1992	71.659	Serbia
113	1992	38.333	Sierra Leone
114	1992	75.788	Singapore
115	1992	71.38	Slovak Republic
116	1992	73.64	Slovenia
117	1992	39.658	Somalia
118	1992	61.888	South Africa
119	1992	77.57	Spain
120	1992	70.379	Sri Lanka
121	1992	53.556	Sudan
122	1992	58.474	Swaziland
123	1992	78.16	Sweden
124	1992	78.03	Switzerland
125	1992	69.249	Syria
126	1992	74.26	Taiwan
127	1992	50.44	Tanzania
128	1992	67.298	Thailand
129	1992	58.061	Togo
130	1992	69.862	Trinidad and Tobago
131	1992	70.001	Tunisia
132	1992	66.146	Turkey
133	1992	48.825	Uganda
134	1992	76.42	United Kingdom
135	1992	76.09	United States
136	1992	72.752	Uruguay
137	1992	71.15	Venezuela
138	1992	67.662	Vietnam
139	1992	69.718	West Bank and Gaza
140	1992	55.599	Yemen, Rep.
141	1992	46.1	Zambia
142	1992	60.377	Zimbabwe
