group	x	y	showSelected1
1	1972	36.088	Afghanistan
2	1972	67.69	Albania
3	1972	54.518	Algeria
4	1972	37.928	Angola
5	1972	67.065	Argentina
6	1972	71.93	Australia
7	1972	70.63	Austria
8	1972	63.3	Bahrain
9	1972	45.252	Bangladesh
10	1972	71.44	Belgium
11	1972	47.014	Benin
12	1972	46.714	Bolivia
13	1972	67.45	Bosnia and Herzegovina
14	1972	56.024	Botswana
15	1972	59.504	Brazil
16	1972	70.9	Bulgaria
17	1972	43.591	Burkina Faso
18	1972	44.057	Burundi
19	1972	40.317	Cambodia
20	1972	47.049	Cameroon
21	1972	72.88	Canada
22	1972	43.457	Central African Republic
23	1972	45.569	Chad
24	1972	63.441	Chile
25	1972	63.11888	China
26	1972	61.623	Colombia
27	1972	48.944	Comoros
28	1972	45.989	Congo, Dem. Rep.
29	1972	54.907	Congo, Rep.
30	1972	67.849	Costa Rica
31	1972	49.801	Cote d'Ivoire
32	1972	69.61	Croatia
33	1972	70.723	Cuba
34	1972	70.29	Czech Republic
35	1972	73.47	Denmark
36	1972	44.366	Djibouti
37	1972	59.631	Dominican Republic
38	1972	58.796	Ecuador
39	1972	51.137	Egypt
40	1972	58.207	El Salvador
41	1972	40.516	Equatorial Guinea
42	1972	44.142	Eritrea
43	1972	43.515	Ethiopia
44	1972	70.87	Finland
45	1972	72.38	France
46	1972	48.69	Gabon
47	1972	38.308	Gambia
48	1972	71	Germany
49	1972	49.875	Ghana
50	1972	72.34	Greece
51	1972	53.738	Guatemala
52	1972	38.842	Guinea
53	1972	36.486	Guinea-Bissau
54	1972	48.042	Haiti
55	1972	53.884	Honduras
56	1972	72	Hong Kong, China
57	1972	69.76	Hungary
58	1972	74.46	Iceland
59	1972	50.651	India
60	1972	49.203	Indonesia
61	1972	55.234	Iran
62	1972	56.95	Iraq
63	1972	71.28	Ireland
64	1972	71.63	Israel
65	1972	72.19	Italy
66	1972	69	Jamaica
67	1972	73.42	Japan
68	1972	56.528	Jordan
69	1972	53.559	Kenya
70	1972	63.983	Korea, Dem. Rep.
71	1972	62.612	Korea, Rep.
72	1972	67.712	Kuwait
73	1972	65.421	Lebanon
74	1972	49.767	Lesotho
75	1972	42.614	Liberia
76	1972	52.773	Libya
77	1972	44.851	Madagascar
78	1972	41.766	Malawi
79	1972	63.01	Malaysia
80	1972	39.977	Mali
81	1972	48.437	Mauritania
82	1972	62.944	Mauritius
83	1972	62.361	Mexico
84	1972	53.754	Mongolia
85	1972	70.636	Montenegro
86	1972	52.862	Morocco
87	1972	40.328	Mozambique
88	1972	53.07	Myanmar
89	1972	53.867	Namibia
90	1972	43.971	Nepal
91	1972	73.75	Netherlands
92	1972	71.89	New Zealand
93	1972	55.151	Nicaragua
94	1972	40.546	Niger
95	1972	42.821	Nigeria
96	1972	74.34	Norway
97	1972	52.143	Oman
98	1972	51.929	Pakistan
99	1972	66.216	Panama
100	1972	65.815	Paraguay
101	1972	55.448	Peru
102	1972	58.065	Philippines
103	1972	70.85	Poland
104	1972	69.26	Portugal
105	1972	72.16	Puerto Rico
106	1972	64.274	Reunion
107	1972	69.21	Romania
108	1972	44.6	Rwanda
109	1972	56.48	Sao Tome and Principe
110	1972	53.886	Saudi Arabia
111	1972	45.815	Senegal
112	1972	68.7	Serbia
113	1972	35.4	Sierra Leone
114	1972	69.521	Singapore
115	1972	70.35	Slovak Republic
116	1972	69.82	Slovenia
117	1972	40.973	Somalia
118	1972	53.696	South Africa
119	1972	73.06	Spain
120	1972	65.042	Sri Lanka
121	1972	45.083	Sudan
122	1972	49.552	Swaziland
123	1972	74.72	Sweden
124	1972	73.78	Switzerland
125	1972	57.296	Syria
126	1972	69.39	Taiwan
127	1972	47.62	Tanzania
128	1972	60.405	Thailand
129	1972	49.759	Togo
130	1972	65.9	Trinidad and Tobago
131	1972	55.602	Tunisia
132	1972	57.005	Turkey
133	1972	51.016	Uganda
134	1972	72.01	United Kingdom
135	1972	71.34	United States
136	1972	68.673	Uruguay
137	1972	65.712	Venezuela
138	1972	50.254	Vietnam
139	1972	56.532	West Bank and Gaza
140	1972	39.848	Yemen, Rep.
141	1972	50.107	Zambia
142	1972	55.635	Zimbabwe
